Spill Date,Street 1,Locality,County,Spill Date,Contributing Factor,Source,Material Name,Material Family,Quantity,Units,Year,Day,Day_of_week,Month,Location,Lat,Lon
2010-02-25,260 HUDSON RIVER RD,WATERFORD,Saratoga,2010-02-25,Unknown,Commercial/Industrial,methyl chloride,Hazardous Material,1.43,Pounds,2010.0,25.0,3.0,2.0,"260, Hudson River Road, Town of Waterford, Saratoga County, New York, 12188, USA",42.8147999580549,-73.6655336718819
1998-04-03,300 WEST GENESEE,SYRACUSE,Onondaga,1998-04-03,Human Error,Unknown,hydrogen chloride,Hazardous Material,1.0,Gallons,1998.0,3.0,4.0,4.0,"300, West Genesee Street, Armory Square, Syracuse, Onondaga County, New York, 13202, USA",43.052078,-76.155136
1997-03-06,11 WEST STREET,BROOKLYN,Kings,1997-03-06,Unknown,Commercial/Industrial,nitric acid,Hazardous Material,11.0,Gallons,1997.0,6.0,3.0,3.0,"11, West Street, Greenpoint, BK, Kings County, NYC, New York, 11222, United States of America",40.7265629,-73.9589151
1995-04-16,119 CLIFTON STREET,ROCHESTER,Monroe,1995-04-16,Abandoned Drums,Unknown,hydrogen chloride,Hazardous Material,5.0,Gallons,1995.0,16.0,6.0,4.0,"119, Clifton Street, Rochester, Monroe County, New York, 14611, United States of America",43.1491356666667,-77.6315621111111
2000-09-06,131 APPLEWOOD DRIVE,GREECE,Monroe,2000-09-06,Deliberate,Private Dwelling,hydrogen chloride,Hazardous Material,1.0,Gallons,2000.0,6.0,2.0,9.0,"131, Applewood Drive, Greece, Greece Town, Monroe County, New York, 14612, USA",43.2444824731555,-77.6791538746787
2007-07-04,149 JACKSON AVE,HASTINGS,Westchester,2007-07-04,Equipment Failure,Commercial/Industrial,chlorine,Hazardous Material,100.0,Gallons,2007.0,4.0,2.0,7.0,"Jackson Avenue, Hastings-on-Hudson, Town of Greenburgh, Westchester County, New York, 10706, USA",40.985656,-73.858876
1990-05-19,153 MITCHELL STREET,ROCHESTER,Monroe,1990-05-19,Human Error,Private Dwelling,nitric acid,Hazardous Material,1.0,Gallons,1990.0,19.0,5.0,5.0,"153, Mitchell Street, Rochester, Monroe County, New York, 14621, USA",43.1863138,-77.5877902
2005-04-20,185 NORTH STREET,GENEVA,Ontario,2005-04-20,Housekeeping,Private Dwelling,hydrochloric acid,Hazardous Material,1.0,Gallons,2005.0,20.0,2.0,4.0,"185, North Street, Geneva, Geneva Town, Ontario County, New York, 14456, USA",42.875597,-76.986806
1989-08-28,186 CLINTON ST,BINGHAMTON,Broome,1989-08-28,Unknown,Unknown,nitric acid,Hazardous Material,1.0,Gallons,1989.0,28.0,0.0,8.0,"186, Clinton Street, First Ward, Binghamton, Broome County, New York, 13905, USA",42.1061604,-75.9271932
1995-07-12,193 MCKINLEY STREET,ROCHESTER,Monroe,1995-07-12,Human Error,Private Dwelling,hydrogen chloride,Hazardous Material,3.0,Gallons,1995.0,12.0,2.0,7.0,"193, McKinley Street, North Winton Village, Rochester, Monroe County, New York, 14609, USA",43.1653685636364,-77.5575210363636
1999-07-29,8TH AVENUE,BROOKLYN,Kings,1999-07-29,Unknown,Unknown,hydrogen chloride,Hazardous Material,1.0,Gallons,1999.0,29.0,3.0,7.0,"8th Avenue, Dyker Heights, BK, Kings County, NYC, New York, 11228, USA",40.6345902,-74.0107933
2001-07-20,877 RIVER ROAD,TONAWANDA,Erie,2001-07-20,Other,Commercial/Industrial,hydrogen peroxide,Hazardous Material,5.0,Gallons,2001.0,20.0,4.0,7.0,"River Road, Tonawanda, Tonawanda Town, Erie County, New York, 14150, USA",42.9937828,-78.933783
1993-06-17,208 FORSYTH STREET,MANHATTAN,New York,1993-06-17,Unknown,Unknown,hydrogen chloride,Hazardous Material,4.0,Gallons,1993.0,17.0,3.0,6.0,"208, Forsyth Street, East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, 10002, USA",40.7228393,-73.9903274652944
1986-07-29,222-33 BRADDOCK AVE,QUEENS,Queens,1986-07-29,Abandoned Drums,Unknown,hydrogen chloride,Hazardous Material,55.0,Gallons,1986.0,29.0,1.0,7.0,"222-33, Braddock Avenue, Queens Village, Queens, Queens County, NYC, New York, 11427, USA",40.72893785,-73.7367379861748
